4.694161842139321266e+02,3.853018897214550179e+03
4.955173177821276340e+02,4.312731252030335781e+03
3.606908994042894534e+01,1.246209135909950163e+02
4.462261278612947990e+02,3.270736442102251658e+03
1.398222471461012617e+02,7.196439469501962094e+02
6.573465206832543117e+01,3.234039803297343951e+02
7.290187235906272463e+02,5.447702511619928373e+03
5.870082131579588491e+01,1.810764262602923225e+02
2.105388556581875150e+02,1.761080153801744927e+03
7.023040185551390380e+01,4.626118016503174317e+02
6.240995542197650821e+02,5.026019633030674413e+03
3.902379289231839010e+01,7.540315327888365005e+01
7.927314440202529511e+01,6.153557464231721497e+02
4.887190563379944308e+01,1.896437856387508134e+02
8.469768433674988728e+01,5.783219706855430786e+02
1.131388609937222789e+01,2.443531003654477729e+01
5.384118253820472688e+01,7.674008591423236680e+01
6.122469900952168587e+01,1.288713076910658231e+02
3.021032567619119646e+01,2.250180035618778902e+02
8.122178531950051905e+00,2.565796673601532873e+01
8.149896068402513905e+00,1.005203669833286284e+01
1.219379270544035698e+01,6.484040514213475603e+01
3.328377114673598669e+01,1.932276607409214648e+02
2.363798553636328137e+01,4.158748993351815670e+01
1.202801566269713440e+01,1.054662172175219936e+01
2.292111771203975579e+01,1.309258669780110473e+01
5.334692872247559592e+01,1.538472349848057519e+01
2.651642532409678665e+01,1.120794536075624670e+01
2.070239537102437666e+01,1.401366360025136082e+01
6.164428774473135064e+01,1.412606532931841308e+01
1.876648148613031708e+01,1.241076607766815343e+01
1.586505009330807425e+01,8.523497767332441910e+00
4.461521603420816007e+01,1.190822736582189556e+01
2.736297161355312824e+01,1.494618710887846724e+01
2.123889013569596784e+01,1.033929551271397074e+01
1.586907647859995052e+01,1.248784750572339775e+01
1.390354571771210203e+03,9.080978590378757872e+03
1.805541610362448864e+03,4.993533976440388869e+03
2.437592403261543041e+03,4.689802394310877389e+03
2.343252273115786295e+02,7.425647160000930853e+02
1.085296397393135976e+03,1.020605108760409962e+03
